collective,gpu_count,num_bytes,reported_size,time_value_n,time_value_mean,time_value_std,time_value_ci95_halfwidth,time_value_min,time_value_max,time_value_p50,time_value_p95,algbw_gbps_n,algbw_gbps_mean,algbw_gbps_std,algbw_gbps_ci95_halfwidth,algbw_gbps_min,algbw_gbps_max,algbw_gbps_p50,algbw_gbps_p95,busbw_gbps_n,busbw_gbps_mean,busbw_gbps_std,busbw_gbps_ci95_halfwidth,busbw_gbps_min,busbw_gbps_max,busbw_gbps_p50,busbw_gbps_p95
all_gather,2,1048576,1048576,5,33.742,0.1416686274374116,0.17587663421842084,33.61,33.97,33.69,33.932,5,31.076,0.12895735729302085,0.16009603797720837,30.87,31.2,31.12,31.189999999999998,5,15.538,0.06723094525588656,0.08346486149272653,15.43,15.6,15.56,15.596
all_gather,2,4194304,4194304,5,94.134,0.1489295135290546,0.18489076974257346,93.88,94.26,94.16,94.25200000000001,5,44.56,0.07035623639735109,0.08734480087560977,44.5,44.68,44.55,44.653999999999996,5,22.278,0.03563705936241071,0.04424215980261335,22.25,22.34,22.27,22.326
all_gather,2,16777216,16777216,5,340.902,14.628536153696306,18.160814774543123,334.25,367.07,334.42,360.54200000000003,5,49.284,1.997943943157565,2.4803773597289585,45.71,50.19,50.17,50.187999999999995,5,24.64,1.0006747723411429,1.2423026473126413,22.85,25.1,25.08,25.098000000000003
all_gather,2,67108864,67108864,5,1298.286,0.7446341383524722,0.9244371767166711,1297.65,1299.57,1298.05,1299.2939999999999,5,51.69,0.029999999999999954,0.037243948233236436,51.64,51.72,51.7,51.716,5,25.846,0.01516575088810313,0.01882774803315578,25.82,25.86,25.85,25.858
all_gather,2,268435456,268435456,5,5030.208,19.518893923580702,24.232022495329133,5008.29,5055.49,5031.19,5052.806,5,53.366,0.2073161836422805,0.2573757737161748,53.1,53.6,53.35,53.587999999999994,5,26.684,0.10358571330062821,0.12859803146238247,26.55,26.8,26.68,26.793999999999997
all_gather,2,1073741824,1073741824,5,18974.82,106.2384676094308,131.89133293413374,18839.7,19079.9,18980.9,19078.9,5,56.59,0.3159905061864998,0.3922911351534732,56.28,56.99,56.57,56.956,5,28.296,0.15852444606432176,0.196802542097403,28.14,28.5,28.28,28.482
all_gather,4,1048576,1048576,5,43.818,0.6369222872533196,0.7907166898352406,43.1,44.74,43.59,44.622,5,23.936,0.34573110938994106,0.4292130513579463,23.44,24.33,24.06,24.284,5,17.948,0.2564566240127171,0.3183819076266744,17.58,18.24,18.04,18.206
all_gather,4,4194304,4194304,5,111.126,0.5400740689942445,0.6704830222578345,110.66,112.02,111.09,111.83999999999999,5,37.744,0.18406520583749766,0.22851049992505942,37.44,37.9,37.76,37.896,5,28.31,0.13910427743243622,0.17269308359051408,28.08,28.43,28.32,28.426000000000002
all_gather,4,16777216,16777216,5,379.782,0.24742675683927542,0.3071716441079856,379.5,380.08,379.76,380.05999999999995,5,44.176,0.030495901363954737,0.037859592390833884,44.14,44.21,44.18,44.208000000000006,5,33.132,0.02280350850198165,0.028309756339465763,33.11,33.16,33.13,33.157999999999994
all_gather,4,67108864,67108864,5,1461.676,1.4507342968303711,1.8010357683777027,1460.36,1464.08,1461.19,1463.638,5,45.914,0.04393176527297645,0.05453974638738105,45.84,45.95,45.93,45.948,5,34.436,0.034351128074634606,0.0426457211921656,34.38,34.47,34.45,34.466
all_gather,4,268435456,268435456,5,5761.938,5.293049215716921,6.571135032871133,5756.15,5769.0,5760.03,5768.356,5,46.586,0.04037325847637267,0.05012198495670334,46.53,46.63,46.6,46.626000000000005,5,34.942,0.03193743884534216,0.03964921063526932,34.9,34.98,34.95,34.976
