case_id,phase,paper_model_id,paper_label,dataset_spec,repeat_index,case_dir,repeat_dir,figure_membership,claim_membership,oom_or_runtime_error,steady_state_step_count,loss_last,loss_steady_mean,rank_skew_percent,baseline_case_id,rewrite_type,iter_time_ms_mean,tokens_per_second_mean,samples_per_second_mean,grad_norm_mean,learning_rate_mean,throughput_per_gpu_tflops_mean,peak_allocated_mb_mean,peak_reserved_mb_mean,gpu_util_mean,power_w_mean
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0304/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0304/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0310/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0310/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0410/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0410/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0430/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0430/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0500/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0500/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0530/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0530/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0600/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0600/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0921/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0921/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0927/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0927/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,True,0,,,,,,,,,,,,,,,
proxy_qwen8b_pp2_fsdp,proxy,proxy-qwen3-8b,8B proxy PP2+FSDP,proxy_public_subset_v1,1,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0932/proxy/proxy_qwen8b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-proxy-20260702-0932/proxy/proxy_qwen8b_pp2_fsdp/repeat_01,,,False,8,,11.8548175,15.536824354961295,,,2300.1625,7123.066416591548,3.4780597737263417,15.33525,2.363171e-05,38.99375,27622.955,28543.0,,
qwen14b_pp2_fsdp,baseline,qwen3-14b,14B PP2+FSDP,formal_public_fineweb_edu_v1,1,/workspace/runs/observation_8x5090d/obs5090d-q14-pp2-r1-20260702-1037/baseline/qwen14b_pp2_fsdp,/workspace/runs/observation_8x5090d/obs5090d-q14-pp2-r1-20260702-1037/baseline/qwen14b_pp2_fsdp/repeat_01,"fig2,fig3","baseline_throughput,pp_fsdp_tradeoff",True,0,,,,,,,,,,,,,,5.483695652173913,68.1413043478261
